,date_range,d1,d2,avg_price,avg_price_conc,volume,yandex_query,price_dif,price_dif_prc,volume_predict
0,12.03.2018 - 18.03.2018,2018-03-12,2018-03-18,103197.8,125185.2,197.0,43602,-21987.399999999994,-0.21306074354298243,178.3782783839623
1,19.03.2018 - 25.03.2018,2018-03-19,2018-03-25,107808.3,111489.7,155.0,43602,-3681.399999999994,-0.034147649114214716,150.5529599744327
2,26.03.2018 - 01.04.2018,2018-03-26,2018-04-01,92518.58,98027.54,124.0,43602,-5508.959999999992,-0.05954436395370521,150.6149627610426
3,02.04.2018 - 08.04.2018,2018-04-02,2018-04-08,80068.75,98274.79,131.0,24458,-18206.039999999994,-0.22738009523066108,95.1871838143901
4,09.04.2018 - 15.04.2018,2018-04-09,2018-04-15,97560.45,128452.0,109.0,24458,-30891.550000000003,-0.31664009339850324,106.95985648237021
5,16.04.2018 - 22.04.2018,2018-04-16,2018-04-22,93533.1,97903.89,83.0,24458,-4370.789999999994,-0.04672987423703473,81.35720253774038
6,23.04.2018 - 29.04.2018,2018-04-23,2018-04-29,105465.4,111031.7,70.0,24458,-5566.300000000003,-0.05277844677022041,83.43989293618117
7,30.04.2018 - 06.05.2018,2018-04-30,2018-05-06,103581.3,109069.9,56.0,24458,-5488.599999999991,-0.05298832897443835,83.20338837635907
8,07.05.2018 - 13.05.2018,2018-05-07,2018-05-13,82913.93,106719.1,65.0,16566,-23805.170000000013,-0.2871070036120591,79.06010730952195
9,14.05.2018 - 20.05.2018,2018-05-14,2018-05-20,114749.3,93182.47,47.0,16566,21566.83,0.18794737745676882,52.01763868078966
10,21.05.2018 - 27.05.2018,2018-05-21,2018-05-27,69152.92,89318.94,68.0,16566,-20166.020000000004,-0.2916148732403491,77.6662590962278
11,28.05.2018 - 03.06.2018,2018-05-28,2018-06-03,76651.25,101019.4,83.0,16566,-24368.149999999994,-0.3179093622087049,80.6859117515509
12,04.06.2018 - 10.06.2018,2018-06-04,2018-06-10,85033.17,89029.84,63.0,17084,-3996.6699999999983,-0.04700130549055149,63.58648416355046
13,11.06.2018 - 17.06.2018,2018-06-11,2018-06-17,99000.1,95122.07,59.0,17084,3878.029999999999,0.03917198063436298,59.72247103291374
14,18.06.2018 - 24.06.2018,2018-06-18,2018-06-24,107350.8,105820.8,58.0,17084,1530.0,0.014252339060351669,62.045562910503804
15,25.06.2018 - 01.07.2018,2018-06-25,2018-07-01,95263.96,98585.11,64.0,17084,-3321.149999999994,-0.034862607013187295,63.87510662658242
16,02.07.2018 - 08.07.2018,2018-07-02,2018-07-08,110204.3,100714.9,70.0,25866,9489.400000000009,0.08610734789840331,76.61834420604809
17,09.07.2018 - 15.07.2018,2018-07-09,2018-07-15,110548.9,104181.4,75.0,25866,6367.5,0.05759894490130612,78.85450954832406
18,16.07.2018 - 22.07.2018,2018-07-16,2018-07-22,116078.3,89461.0,68.0,25866,26617.300000000003,0.22930470208471354,67.12997850493512
19,23.07.2018 - 29.07.2018,2018-07-23,2018-07-29,128062.3,104517.7,81.0,25866,23544.600000000006,0.18385270294223988,71.59201930950017
20,30.07.2018 - 05.08.2018,2018-07-30,2018-08-05,130148.6,102972.8,86.0,25866,27175.800000000003,0.20880593413989856,70.08185302291847
21,06.08.2018 - 12.08.2018,2018-08-06,2018-08-12,96543.92,101899.9,116.0,33399,-5355.979999999996,-0.055477134137499245,109.38301897053564
22,13.08.2018 - 19.08.2018,2018-08-13,2018-08-19,87305.38,90809.69,124.0,33399,-3504.3099999999977,-0.04013853441792473,106.13805099192047
23,20.08.2018 - 26.08.2018,2018-08-20,2018-08-26,99806.33,104769.0,123.0,33399,-4962.669999999998,-0.04972299853125547,109.33713961238342
24,27.08.2018 - 02.09.2018,2018-08-27,2018-09-02,116965.9,101440.8,95.0,33399,15525.099999999991,0.13273184748717354,93.84351900509019
25,03.09.2018 - 09.09.2018,2018-09-03,2018-09-09,78996.63,87243.0,139.0,41211,-8246.369999999995,-0.1043888834245207,142.83639460964602
26,10.09.2018 - 16.09.2018,2018-09-10,2018-09-16,87086.05,95416.29,147.0,41211,-8330.23999999999,-0.09565527429479223,143.471458661522
27,17.09.2018 - 23.09.2018,2018-09-17,2018-09-23,113281.9,104672.6,147.0,41211,8609.299999999988,0.07599890185457685,126.29572302944028
28,24.09.2018 - 30.09.2018,2018-09-24,2018-09-30,103519.1,102271.3,166.0,41211,1247.800000000003,0.012053814223655372,132.43866801502165
29,01.10.2018 - 07.10.2018,2018-10-01,2018-10-07,135438.3,103567.9,146.0,51867,31870.399999999994,0.23531305398842128,156.56370056432652
30,08.10.2018 - 14.10.2018,2018-10-08,2018-10-14,106349.8,111031.3,183.0,51867,-4681.5,-0.04401982890423865,196.9305162842203
31,15.10.2018 - 21.10.2018,2018-10-15,2018-10-21,110644.8,102882.1,158.0,51867,7762.699999999997,0.07015874220930397,177.1165809857266
32,22.10.2018 - 28.10.2018,2018-10-22,2018-10-28,94664.13,121788.3,221.0,51867,-27124.17,-0.2865306003446078,245.65729806416158
33,29.10.2018 - 04.11.2018,2018-10-29,2018-11-04,90980.85,105228.1,185.0,51867,-14247.25,-0.1565961408362309,214.73489967971938
34,05.11.2018 - 11.11.2018,2018-11-05,2018-11-11,102545.0,114407.0,172.0,40909,-11862.0,-0.11567604466331854,148.62108231517337
35,12.11.2018 - 18.11.2018,2018-11-12,2018-11-18,121821.6,129676.5,165.0,40909,-7854.899999999994,-0.06447871313461646,145.7514506871249
36,19.11.2018 - 25.11.2018,2018-11-19,2018-11-25,145647.3,115160.8,99.0,40909,30486.499999999985,0.20931730282676017,115.52479075413908
37,26.11.2018 - 02.12.2018,2018-11-26,2018-12-02,143754.8,108358.1,91.0,40909,35396.69999999998,0.24622969111292273,111.0408681047231
38,03.12.2018 - 09.12.2018,2018-12-03,2018-12-09,168935.1,135743.5,98.0,32409,33191.600000000006,0.19647545122357643,92.87869499168906
39,10.12.2018 - 16.12.2018,2018-12-10,2018-12-16,125785.3,121518.2,111.0,32409,4267.100000000006,0.033923677886048734,101.73651665103141
40,17.12.2018 - 23.12.2018,2018-12-17,2018-12-23,103407.4,95927.21,96.0,32409,7480.189999999988,0.07233708612729832,94.46166075737037
41,24.12.2018 - 30.12.2018,2018-12-24,2018-12-30,99600.5,111304.5,103.0,32409,-11704.0,-0.11750945025376379,113.28470209880159
42,31.12.2018 - 06.01.2019,2018-12-31,2019-01-06,106651.7,96013.79,,32409,10637.910000000003,0.09974440163635463,92.41765877063823
43,07.01.2019 - 13.01.2019,2019-01-07,2019-01-13,101673.5,102984.4,,42146,-1310.8999999999942,-0.012893231766389415,139.40214138337308
44,14.01.2019 - 20.01.2019,2019-01-14,2019-01-20,123099.7,103358.1,,42146,19741.59999999999,0.16037082137486924,121.57707558190127
45,21.01.2019 - 27.01.2019,2019-01-21,2019-01-27,119102.7,125948.5,,42146,-6845.800000000003,-0.05747812602065279,149.85397208168618
46,28.01.2019 - 03.02.2019,2019-01-28,2019-02-03,101896.1,91143.04,,42146,10753.060000000012,0.10552965226343317,124.03154688008257
47,04.02.2019 - 10.02.2019,2019-02-04,2019-02-10,124413.5,107045.3,,36013,17368.199999999997,0.13960060604355634,102.45867492441884
48,11.02.2019 - 17.02.2019,2019-02-11,2019-02-17,125538.7,110561.7,,36013,14977.0,0.11930185671828687,104.72790483612184
49,18.02.2019 - 24.02.2019,2019-02-18,2019-02-24,111693.3,110301.8,,36013,1391.5,0.012458222650776726,113.83036001948678
50,25.02.2019 - 03.03.2019,2019-02-25,2019-03-03,112086.9,95005.36,,36013,17081.539999999994,0.1523955074143365,99.17331572622791
51,04.03.2019 - 10.03.2019,2019-03-04,2019-03-10,85283.17,103556.0,,33290,-18272.83,-0.2142606800380427,125.25255194183676
